Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.54495596885681
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.75352871417999
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.65984559059143
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.27180624008179
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.88003480434418
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.18368434906006
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2.66737953300154
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.617
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.3
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,52
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.192464831795841
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.106261312961578
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.141740188002586
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.165585100650787
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.159353822469711
Albania,ALB,Government Effectiveness: Estimate,GE.EST,0.0645405352115631
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.408189445734024
Albania,ALB,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0105697969397847
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.769
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.243959543749562
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.650652348995209
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.01191890239716
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.833259999752045
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.06357324123383
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.51349949836731
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.638041079044342
Algeria,DZA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.169460980724741
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.129
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20
Algeria,DZA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.165598777009824
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.58598840236664
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.10678911209106
Andorra,AND,Rule of Law: Estimate,RL.EST,1.48548305034637
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.39833402633667
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.49526071548462
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.27027237415314
Andorra,AND,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.01425720407199
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.6
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.00937958722790289
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.630108535289764
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-0.807577967643738
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.02203571796417
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.606698572635651
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.02603423595428
Angola,AGO,Control of Corruption: Estimate,CC.EST,-0.612375736236572
Angola,AGO,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.966422541178586
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.5
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.6
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.151115353378834
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.938082098960876
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.724552810192108
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.390787124633789
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.28908696770668
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.160002663731575
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.310727566480637
Antigua and Barbuda,ATG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0496016040449321
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.5
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.0430848772081
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0985943302512169
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.546316981315613
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.482351809740067
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.697565734386444
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.28348970413208
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.447221606969833
Argentina,ARG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0535964466956519
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.806
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.949151936191549
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.740756273269653
Armenia,ARM,Voice and Accountability: Estimate,VA.EST,0.0903258174657822
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.169515803456306
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,-0.0190788023173809
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.314792364835739
Armenia,ARM,Control of Corruption: Estimate,CC.EST,0.0279071740806103
Armenia,ARM,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0394883650427026
